sku,account_ref,user_ref,quantity,value
UZDIAW,LLFXMPKKEMDZZU,,2,570.29
GKAOLN,ETJCIXNTVDVENS,,2,454.25
SIUOJS,,,1,66.83
WAPZQX,QAPOVZVAEPWGHD,,1,304.62
DQCJBZ,,,2,261.13
NUTUMM,YNRXEQKQSJDUVR,,3,261.76
IUTHJY,,,3,269.13
MFGSKX,,,1,188.79
JJLSSL,,,1,124.29
GXXTRN,,,1,144.97
GMNWYD,,,3,74.67
BUWOCC,,,2,333.7
UYVDRX,BOQDGYPDNQDVQH,,1,456.23
QNEFNI,JVSKUVGJKPTJJW,CZEKMXQPXMOM,3,316.92
BEJSME,XTHGZDRDGFFJOV,RAXEBAONFUNL,1,243.2
BIOMBO,,,3,66.16
EWUKIF,SEFMLNSBBYYEMJ,,1,487.42
PGCIMN,,,1,116.51
XPHKUD,,,2,202.88
EEAGVO,,,3,159.86
QUBEQZ,BUXWVFFMJOUTGC,DIIAIHDAQHVM,2,241.91
CHXNLG,,,2,290.63
PGCBEX,OOQHJGNITYIXTY,MCOJEKSEYNUU,1,701.43
JGRCQD,LPCUWFVOMPMJHL,,2,446.63
DNLURA,QPMCEKOJCPLEAR,,3,281.36
KHVGCR,,,2,673.93
QOGVVY,,,2,518.18
NWUKJZ,CWIMLMOPZARVSX,,1,273.09
OZLFGF,BEMYPOPDEWWCAN,,3,438.13
ROACGJ,,,2,105.59
QBEWQT,,,1,121.03
COWVNK,,,2,23.39
GFMBSZ,LPCUWFVOMPMJHL,NGYDJNVJCZOG,1,456.59
PZKOAO,UERRUZRLMUYDAQ,XEQYHMMJRKNF,1,430.61
ZUMLLL,YRGNIUDXOVAGOS,,3,205.53
BTUEHB,GQWQKSSYXPJKQL,,1,569.72
KHVGCR,,,2,662.11
GJGPJS,CKTAZQGXASXMVQ,JIMBOHOSYHZZ,2,614.79
WIAWOP,,,3,64.49
UXEOVI,ROCIYTFQLJAXXB,,2,328.73
JGRCQD,KJJDZTDDIUGDAN,,2,539.88
WFDPQV,KLIXKLXWFSHVOU,,3,535.01
ZOGFYB,LCJGUZEMHDDHTU,,3,472.69
DXAWDC,XSUHXXKWSPYDWD,SXPGTKGXIEND,3,94.64
KKMWEX,,,2,111.24
ZLOGTG,GZXGVEXMRXWZWF,TQLOUKGLHXMU,3,435.57
PXQONS,,,3,519.16
BPCTIF,HPSCSBBAHVLGIP,OFXISARBNLYE,3,159.54
ABVFJK,,,3,208.45
ORLPVQ,,,3,448.06
HLXZKR,EEQIYOTPAHKNVD,JXLSMZSVSTAM,2,260.37
HLXZKR,,,3,329.62
FCSXUS,OOQOGDHJAEEKUY,,2,139.65
VAYGFG,,,3,20.6
RDCDDO,JNSPJHXIEPVHUK,,3,187.47
GWRRMM,,,2,175.1
VYCQTU,GDJUGVWKJFEOKI,TZCAIGVGJTZP,3,282.91
MFILOM,,,3,457.5
XVPTKN,,,2,175.18
ENBGES,,,1,487.46
FZCKLR,,,3,72.15
GRIPPM,RWBXBPZDPATPKA,,3,617.57
TOENGP,RUKHEBAJALWYKK,DDITCMAUJGAY,1,534.81
